param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(13,)",tanh,100,200,-0.14191049120820787,121,-0.14011439378625257
"(13,)",tanh,100,400,-0.14191049120820787,121,-0.14011439378625257
"(13,)",tanh,100,800,-0.14191049120820787,121,-0.14011439378625257
"(15,)",tanh,100,200,-0.14346268902225484,130,-0.14191162548451222
"(15,)",tanh,100,400,-0.14346268902225484,130,-0.14191162548451222
"(15,)",tanh,100,800,-0.14346268902225484,130,-0.14191162548451222
"(17,)",tanh,100,200,-0.1409996609326483,103,-0.139306123696422
"(17,)",tanh,100,400,-0.1409996609326483,103,-0.139306123696422
"(17,)",tanh,100,800,-0.1409996609326483,103,-0.139306123696422
"(19,)",tanh,100,200,-0.1466923746319936,160,-0.1453215217996322
"(19,)",tanh,100,400,-0.1466923746319936,160,-0.1453215217996322
"(19,)",tanh,100,800,-0.1466923746319936,160,-0.1453215217996322
"(21,)",tanh,100,200,-0.13872443970313458,85,-0.13738994186671158
"(21,)",tanh,100,400,-0.13872443970313458,85,-0.13738994186671158
"(21,)",tanh,100,800,-0.13872443970313458,85,-0.13738994186671158
"(1,)",tanh,200,200,-0.1792457779587508,361,-0.17914101510776775
"(1,)",tanh,200,400,-0.1792457779587508,361,-0.17914101510776775
"(1,)",tanh,200,800,-0.1792457779587508,361,-0.17914101510776775
"(3,)",tanh,200,200,-0.16464459199743156,313,-0.16458480767550215
"(3,)",tanh,200,400,-0.16464459199743156,313,-0.16458480767550215
"(3,)",tanh,200,800,-0.16464459199743156,313,-0.16458480767550215
"(5,)",tanh,200,200,-0.17051985191909835,328,-0.17033907253805064
"(5,)",tanh,200,400,-0.17051985191909835,328,-0.17033907253805064
"(5,)",tanh,200,800,-0.17051985191909835,328,-0.17033907253805064
"(7,)",tanh,200,200,-0.17457687044621376,343,-0.17450905979328507
"(7,)",tanh,200,400,-0.17457687044621376,343,-0.17450905979328507
"(7,)",tanh,200,800,-0.17457687044621376,343,-0.17450905979328507
"(9,)",tanh,200,200,-0.1974085345924663,379,-0.1959835790433863
"(9,)",tanh,200,400,-0.1974085345924663,379,-0.1959835790433863
"(9,)",tanh,200,800,-0.1974085345924663,379,-0.1959835790433863
"(11,)",tanh,200,200,-0.13562524893851546,28,-0.13394893053247908
"(11,)",tanh,200,400,-0.13562524893851546,28,-0.13394893053247908
"(11,)",tanh,200,800,-0.13562524893851546,28,-0.13394893053247908
"(13,)",tanh,200,200,-0.15065184080222727,184,-0.14879763288390685
"(13,)",tanh,200,400,-0.15065184080222727,184,-0.14879763288390685
"(13,)",tanh,200,800,-0.15065184080222727,184,-0.14879763288390685
"(15,)",tanh,200,200,-0.15087663164538412,190,-0.1493441382948965
"(15,)",tanh,200,400,-0.15087663164538412,190,-0.1493441382948965
"(15,)",tanh,200,800,-0.15087663164538412,190,-0.1493441382948965
"(17,)",tanh,200,200,-0.14596007330314792,148,-0.14430405500699992
"(17,)",tanh,200,400,-0.14596007330314792,148,-0.14430405500699992
"(17,)",tanh,200,800,-0.14596007330314792,148,-0.14430405500699992
"(19,)",tanh,200,200,-0.15616081153684636,226,-0.15501084635334597
"(19,)",tanh,200,400,-0.15616081153684636,226,-0.15501084635334597
"(19,)",tanh,200,800,-0.15616081153684636,226,-0.15501084635334597
"(21,)",tanh,200,200,-0.1469052189671826,163,-0.14580362959877843
"(21,)",tanh,200,400,-0.1469052189671826,163,-0.14580362959877843
"(21,)",tanh,200,800,-0.1469052189671826,163,-0.14580362959877843
"(1,)",relu,50,200,-0.15698521781392333,232,-0.1576729494613435
"(1,)",relu,50,400,-0.15698521781392333,232,-0.1576729494613435
"(1,)",relu,50,800,-0.15698521781392333,232,-0.1576729494613435
"(3,)",relu,50,200,-0.1620738016727692,280,-0.16142047308922072
"(3,)",relu,50,400,-0.1620738016727692,280,-0.16142047308922072
"(3,)",relu,50,800,-0.1620738016727692,280,-0.16142047308922072
"(5,)",relu,50,200,-0.13854001620546325,79,-0.13605100587321184
"(5,)",relu,50,400,-0.13854001620546325,79,-0.13605100587321184
"(5,)",relu,50,800,-0.13854001620546325,79,-0.13605100587321184
"(7,)",relu,50,200,-0.13712332455247547,46,-0.1354491661297511
"(7,)",relu,50,400,-0.13712332455247547,46,-0.1354491661297511
"(7,)",relu,50,800,-0.13712332455247547,46,-0.1354491661297511
"(9,)",relu,50,200,-0.15794821428178304,244,-0.1555992220562898
"(9,)",relu,50,400,-0.15794821428178304,244,-0.1555992220562898
"(9,)",relu,50,800,-0.15794821428178304,244,-0.1555992220562898
"(11,)",relu,50,200,-0.13685480654403062,37,-0.1349541171441996
"(11,)",relu,50,400,-0.13685480654403062,37,-0.1349541171441996
"(11,)",relu,50,800,-0.13685480654403062,37,-0.1349541171441996
"(13,)",relu,50,200,-0.13476358581411102,19,-0.13243125585819543
"(13,)",relu,50,400,-0.13476358581411102,19,-0.13243125585819543
"(13,)",relu,50,800,-0.13476358581411102,19,-0.13243125585819543
"(15,)",relu,50,200,-0.13755712402852815,64,-0.1351725228849586
"(15,)",relu,50,400,-0.13755712402852815,64,-0.1351725228849586
"(15,)",relu,50,800,-0.13755712402852815,64,-0.1351725228849586
"(17,)",relu,50,200,-0.15008746788023808,178,-0.14758709213994442
"(17,)",relu,50,400,-0.15008746788023808,178,-0.14758709213994442
"(17,)",relu,50,800,-0.15008746788023808,178,-0.14758709213994442
"(19,)",relu,50,200,-0.13709565647576283,43,-0.1344070983669552
"(19,)",relu,50,400,-0.13709565647576283,43,-0.1344070983669552
"(19,)",relu,50,800,-0.13709565647576283,43,-0.1344070983669552
"(21,)",relu,50,200,-0.13454617978403471,16,-0.13144234354466547
"(21,)",relu,50,400,-0.13454617978403471,16,-0.13144234354466547
"(21,)",relu,50,800,-0.13454617978403471,16,-0.13144234354466547
"(1,)",relu,100,200,-0.1732417765941625,336,-0.17609214867504847
"(1,)",relu,100,400,-0.17248338722494713,334,-0.1749791027844759
"(1,)",relu,100,800,-0.17248338722494713,334,-0.1749791027844759
"(3,)",relu,100,200,-0.1803335835983222,364,-0.18037141261905834
