param_hidden_layer_sizes,param_activation,param_batch_size,param_max_iter,mean_test_score,rank_test_score,mean_train_score
"(9,)",tanh,100,200,-0.790140009604859,26,-0.7460215324000864
"(9,)",tanh,100,400,-0.8041668484122614,87,-0.7178650184806978
"(9,)",tanh,100,800,-0.8156668633616013,203,-0.7017717312055685
"(11,)",tanh,100,200,-0.791164802858527,35,-0.7255864618741826
"(11,)",tanh,100,400,-0.7978514124769188,63,-0.6991327183885137
"(11,)",tanh,100,800,-0.8051037394359646,94,-0.6909583853076403
"(13,)",tanh,100,200,-0.790933368085587,30,-0.7263998205737664
"(13,)",tanh,100,400,-0.8007148813165719,76,-0.6980077851933544
"(13,)",tanh,100,800,-0.810208534643895,136,-0.6871012889816726
"(15,)",tanh,100,200,-0.8055461533386534,97,-0.7303584487075787
"(15,)",tanh,100,400,-0.8110410546735878,150,-0.6849543303590587
"(15,)",tanh,100,800,-0.8236168242042445,355,-0.6553193333296188
"(17,)",tanh,100,200,-0.7911160418973934,34,-0.714407088246752
"(17,)",tanh,100,400,-0.7977307349642959,60,-0.676934910997139
"(17,)",tanh,100,800,-0.8240768452218635,357,-0.6476298979494132
"(19,)",tanh,100,200,-0.8119610691000355,168,-0.7188954591907251
"(19,)",tanh,100,400,-0.8303813779923013,377,-0.6717347502662542
"(19,)",tanh,100,800,-0.8574219255437647,393,-0.634957638466831
"(21,)",tanh,100,200,-0.7931628924463965,39,-0.7124295749487052
"(21,)",tanh,100,400,-0.8156137006331784,202,-0.6712537817329811
"(21,)",tanh,100,800,-0.8506969028844237,392,-0.6268787026512164
"(1,)",tanh,200,200,-0.8610087804630615,394,-0.8485406958297226
"(1,)",tanh,200,400,-0.8334812218730286,381,-0.8149669383764214
"(1,)",tanh,200,800,-0.8317708786721564,380,-0.8117839861436625
"(3,)",tanh,200,200,-0.824557513418742,361,-0.8024966137960711
"(3,)",tanh,200,400,-0.8214315507247354,338,-0.7857400461786739
"(3,)",tanh,200,800,-0.8178062054281595,260,-0.78129553139435
"(5,)",tanh,200,200,-0.8133070011035661,190,-0.7857474941065374
"(5,)",tanh,200,400,-0.791588077080836,36,-0.755186742403533
"(5,)",tanh,200,800,-0.7887438880496449,22,-0.7421108138426601
"(7,)",tanh,200,200,-0.813624424476156,193,-0.7761194884990592
"(7,)",tanh,200,400,-0.8025679208026993,82,-0.7535595117099362
"(7,)",tanh,200,800,-0.8010209071878327,78,-0.7465983867287854
"(9,)",tanh,200,200,-0.7977826933882832,61,-0.7665845073560018
"(9,)",tanh,200,400,-0.7893327997212585,24,-0.739448439399806
"(9,)",tanh,200,800,-0.7988792595514054,66,-0.7253405317344896
"(11,)",tanh,200,200,-0.7938310100024049,44,-0.7465002101433489
"(11,)",tanh,200,400,-0.7910234574415536,32,-0.7193253088022061
"(11,)",tanh,200,800,-0.7958249795600194,53,-0.7102908706758626
"(13,)",tanh,200,200,-0.7976508864747294,58,-0.7515203314620303
"(13,)",tanh,200,400,-0.7910966037957881,33,-0.7201186113971568
"(13,)",tanh,200,800,-0.7959292198937061,54,-0.7069786904222103
"(15,)",tanh,200,200,-0.8094436076098128,126,-0.7604836744495319
"(15,)",tanh,200,400,-0.8055487314237917,98,-0.7228101172835107
"(15,)",tanh,200,800,-0.8140685350433327,196,-0.6791380223319707
"(17,)",tanh,200,200,-0.7989259173401895,67,-0.7426673281527998
"(17,)",tanh,200,400,-0.7889903040945654,23,-0.7062730387915389
"(17,)",tanh,200,800,-0.7993275118559123,69,-0.6783280959722665
"(19,)",tanh,200,200,-0.8099392884584857,134,-0.7507741934326341
"(19,)",tanh,200,400,-0.8123293733780708,171,-0.7096839539986478
"(19,)",tanh,200,800,-0.8342138402965625,383,-0.6690066295277738
"(21,)",tanh,200,200,-0.7905294965635639,28,-0.7383699325773312
"(21,)",tanh,200,400,-0.7982598480336224,65,-0.7051406572610239
"(21,)",tanh,200,800,-0.8172433051305301,244,-0.6680154304085543
"(1,)",relu,50,200,-0.8171581864487569,239,-0.8039845546543471
"(1,)",relu,50,400,-0.8164839860888696,224,-0.8033081035634957
"(1,)",relu,50,800,-0.8164839860888696,224,-0.8033081035634957
"(3,)",relu,50,200,-0.8098069855138856,131,-0.7874940617868575
"(3,)",relu,50,400,-0.8071110795084705,108,-0.784142907127835
"(3,)",relu,50,800,-0.8071110795084705,108,-0.784142907127835
"(5,)",relu,50,200,-0.8037275398389673,85,-0.7562682567322085
"(5,)",relu,50,400,-0.8044989893906547,90,-0.7526381821283356
"(5,)",relu,50,800,-0.8044989893906547,90,-0.7526381821283356
"(7,)",relu,50,200,-0.8165402400127519,230,-0.7572932267084608
"(7,)",relu,50,400,-0.818333921382125,277,-0.744049615306212
"(7,)",relu,50,800,-0.8198007589789758,307,-0.7426495132568502
"(9,)",relu,50,200,-0.8115451870957647,158,-0.7484222919054078
"(9,)",relu,50,400,-0.8122927842257935,170,-0.7432868406855065
"(9,)",relu,50,800,-0.8133228017286669,191,-0.7430081172687821
"(11,)",relu,50,200,-0.8183425315302479,278,-0.7188819283664882
"(11,)",relu,50,400,-0.822259925763538,342,-0.7060377590839639
"(11,)",relu,50,800,-0.8226709796589325,346,-0.7055597919637572
"(13,)",relu,50,200,-0.8110155465508251,148,-0.7240834929504966
"(13,)",relu,50,400,-0.8147258229394915,197,-0.7022154603664744
"(13,)",relu,50,800,-0.8159118080347403,207,-0.7013138031943582
"(15,)",relu,50,200,-0.8172091244212165,243,-0.7112727802282246
"(15,)",relu,50,400,-0.8215462742464567,339,-0.6919015519974956
"(15,)",relu,50,800,-0.8226794085691728,347,-0.6899773208341897
"(17,)",relu,50,200,-0.8150083989337533,198,-0.7109245420388888
"(17,)",relu,50,400,-0.8230853861814236,352,-0.6815687162749982
"(17,)",relu,50,800,-0.8273129476567934,369,-0.6758329144223413
"(19,)",relu,50,200,-0.8241150856324149,358,-0.6972149513220667
"(19,)",relu,50,400,-0.8273897971292017,371,-0.6834945865333244
"(19,)",relu,50,800,-0.8275928867981776,372,-0.6834346057349616
"(21,)",relu,50,200,-0.817404955799405,252,-0.6900787874708151
"(21,)",relu,50,400,-0.83803137314388,385,-0.6684230154143074
"(21,)",relu,50,800,-0.8401075334085707,388,-0.6662132445605268
"(1,)",relu,100,200,-0.8245994424638796,363,-0.8121049863301959
"(1,)",relu,100,400,-0.8222512965250994,340,-0.8079226435067737
"(1,)",relu,100,800,-0.8222512965250994,340,-0.8079226435067737
"(3,)",relu,100,200,-0.8094302320760368,123,-0.792123015667237
"(3,)",relu,100,400,-0.8094302320760368,123,-0.792123015667237
"(3,)",relu,100,800,-0.8094302320760368,123,-0.792123015667237
"(5,)",relu,100,200,-0.8106091537572295,140,-0.7644575275796787
"(5,)",relu,100,400,-0.8064964258753944,101,-0.7559578581011197
"(5,)",relu,100,800,-0.8064964258753944,101,-0.7559578581011197
"(7,)",relu,100,200,-0.8240313548345732,356,-0.7763588422398733
"(7,)",relu,100,400,-0.813961936483922,195,-0.7534432760275693
"(7,)",relu,100,800,-0.8153281915711388,201,-0.7522991208733643
"(9,)",relu,100,200,-0.8124711337506506,176,-0.7583836364357873
"(9,)",relu,100,400,-0.8116269566634443,164,-0.7467018996454964
"(9,)",relu,100,800,-0.8116269566634443,164,-0.7467018996454964
"(11,)",relu,100,200,-0.8136123793385049,192,-0.7286176832127296
"(11,)",relu,100,400,-0.8180537258005881,270,-0.711676737300233
"(11,)",relu,100,800,-0.8176425415638569,254,-0.7065406074891641
"(13,)",relu,100,200,-0.8095372845863489,127,-0.7373771970253327
"(13,)",relu,100,400,-0.8115917738443663,159,-0.713805566493947
